rebalance_date,beginning_value,ending_value,monthly_return,cash,invested_value,realized_pnl,unrealized_pnl,buy_value,sell_value,buy_transaction_costs,sell_transaction_costs,transaction_costs,turnover,holdings
2021-08-10 00:00:00,1000000,973203.6753883052,-0.026796324611694785,0.0,973203.6753883052,0.0,-26796.324611694727,0.0,0.0,0,0,0,0.0,3
2021-08-11 00:00:00,973203.6753883052,991494.772641367,0.0187947268548526,0.0,991494.772641367,0.0,12945.803033310396,0.0,0.0,0,0,0,0.0,3
2021-08-12 00:00:00,991494.772641367,994650.8025635747,0.00318310293638761,0.0,994650.8025635747,0.0,-718.816775347339,0.0,0.0,0,0,0,0.0,3
2021-08-13 00:00:00,994650.8025635747,1004155.7869725402,0.009556101884669141,0.0,1004155.7869725402,0.0,8444.44225150143,0.0,0.0,0,0,0,0.0,3
2021-08-16 00:00:00,1004155.7869725402,1026619.7051994903,0.02237094932717288,0.0,1026619.7051994903,0.0,25251.679417356674,0.0,0.0,0,0,0,0.0,3
2021-08-17 00:00:00,1026619.7051994903,1021153.6913778438,-0.005324282978363747,0.0,1021153.6913778438,0.0,-3735.415602122899,0.0,0.0,0,0,0,0.0,3
2021-08-18 00:00:00,1021153.6913778438,1015369.7630608999,-0.005664111451371898,0.0,1015369.7630608999,0.0,-8904.187960518117,0.0,0.0,0,0,0,0.0,3
2021-08-20 00:00:00,1015369.7630608999,981609.3055980724,-0.03324942172894178,0.0,981609.3055980724,0.0,-18498.491892251826,0.0,0.0,0,0,0,0.0,3
2021-08-23 00:00:00,981609.3055980724,983221.4154718735,0.0016423131531122747,309099.56812558364,674121.8473462899,-24233.765207749693,-8392.41856262926,0.0,0.0,0,320.6292534492857,320.6292534492857,0.0,2
2021-08-24 00:00:00,983221.4154718735,1019376.598447304,0.03677216790287129,0.0,1019376.598447304,0.0,35462.124612475396,0.0,0.0,0,0,0,0.0,3
2021-08-25 00:00:00,1019376.598447304,999752.1863408862,-0.01925138573546751,0.0,999752.1863408862,0.0,-19985.041310948844,0.0,0.0,0,0,0,0.0,3
2021-08-26 00:00:00,999752.1863408862,998238.5842890916,-0.0015139772360332055,0.0,998238.5842890916,0.0,-4546.852756798966,0.0,0.0,0,0,0,0.0,3
2021-08-27 00:00:00,998238.5842890916,1001122.2526996133,0.002888756711979171,0.0,1001122.2526996133,0.0,473.5524690806051,0.0,0.0,0,0,0,0.0,3
