rebalance_date,decision_date,action,symbol,reason,rank_before,rank_after,score,weight_before,weight_after,quantity,entry_price,exit_price,trade_value,transaction_cost,portfolio_value,cash_after,notes
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ADANIENT,NEW_POSITION,,1,0.7562821582152158,,0.1,67.27442247962723,1484.685764939077,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BASF,NEW_POSITION,,2,0.6524805830800822,,0.1,27.417342135602524,3643.0,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ABREL,NEW_POSITION,,3,0.5622390281322708,,0.1,129.96053119222316,768.5516247411038,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ARVIND,NEW_POSITION,,4,0.5487575663612739,,0.1,1028.6444796043966,97.0999984741211,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BSOFT,NEW_POSITION,,5,0.5273134134675415,,0.1,263.80986072394154,378.6112358571723,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BALRAMCHIN,NEW_POSITION,,6,0.5256226780733189,,0.1,299.02891459795046,334.01912833176095,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,APARINDS,NEW_POSITION,,7,0.501347198335206,,0.1,156.11110543580835,639.8095582064175,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BAJAJFINSV,NEW_POSITION,,8,0.4939765874188838,,0.1,70.19427188511105,1422.9277506215703,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,JSWSTEEL,NEW_POSITION,,9,0.4866514211292748,,0.1,139.52727518072226,715.8555721139753,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,AMBUJACEM,NEW_POSITION,,10,0.45202961614737563,,0.1,254.938772290135,391.78574723161074,,100000.0,118.62260000000242,981915.7154290952,0.0,
2021-08-11 00:00:00,2021-08-11 00:00:00,SELL,AMBUJACEM,SellReason.RANK_EXIT,,,,,,254.938772290135,391.78574723161074,384.8093789430067,98102.83063345947,101.65670377598718,988501.8878387344,98001.17392968349,
2021-08-12 00:00:00,2021-08-12 00:00:00,SELL,APARINDS,SellReason.RANK_EXIT,,,,,,156.11110543580835,639.8095582064175,601.3448161838012,93876.60400254618,97.27737785914242,1000913.9932715166,191780.50055437052,
2021-08-18 00:00:00,2021-08-18 00:00:00,SELL,ARVIND,SellReason.RANK_EXIT,,,,,,1028.6444796043966,97.0999984741211,95.80000305175781,98544.14428527502,102.1140044561534,997957.2459027965,290222.5308351894,
2021-08-23 00:00:00,2021-08-23 00:00:00,SELL,JSWSTEEL,SellReason.RANK_EXIT,,,,,,139.52727518072226,715.8555721139753,665.2897011962516,92826.05921370989,96.18877603478573,979786.2693182477,382952.4012728645,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,TECHM,NEW_POSITION,,7,0.586705460177492,,0.09751753711674976,80.14888952075148,1193.086190790825,,95738.10031821612,113.56702378806949,998765.506740086,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,APOLLOHOSP,NEW_POSITION,,8,0.5807530269822809,,0.09751753711674976,20.08625796480888,4760.694274760496,,95738.10031821612,113.56702378806949,998765.506740086,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,WIPRO,NEW_POSITION,,9,0.5312454983408477,,0.09751753711674975,325.4749313934663,293.79999524088583,,95738.10031821611,113.56702378806949,998765.506740086,0.0,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,TATACONSUM,NEW_POSITION,,10,0.5246650883254111,,0.09751753711674975,119.57754178760152,799.6863948272178,,95738.10031821611,113.56702378806949,998765.506740086,0.0,
2021-08-25 00:00:00,2021-08-25 00:00:00,SELL,TATACONSUM,SellReason.RANK_EXIT,,,,,,119.57754178760152,799.6863948272178,802.1808806910184,95922.81778204524,99.39771777901761,995601.355748024,95823.42006426622,
2021-08-26 00:00:00,2021-08-26 00:00:00,SELL,WIPRO,SellReason.RANK_EXIT,,,,,,325.4749313934663,293.79999524088583,292.0445491233425,95053.1795897557,98.49657607357419,991114.6819164727,190778.10307794833,
2021-08-30 00:00:00,2021-08-30 00:00:00,SELL,ABREL,SellReason.RANK_EXIT,,,,,,129.96053119222316,768.5516247411038,743.8868878565797,96675.93509277084,100.17811751744156,1003479.6313917614,287353.86005320173,
2021-08-31 00:00:00,2021-08-31 00:00:00,SELL,TECHM,SellReason.RANK_EXIT,,,,,,80.14888952075148,1193.086190790825,1195.5192134171562,95819.53735610736,99.2906959163697,1017454.1327601185,383074.1067133927,
2021-09-08 00:00:00,2021-09-08 00:00:00,SELL,BASF,SellReason.RANK_EXIT,,,,,,27.417342135602524,3643.0,3529.35009765625,96765.39914376359,100.27082249314556,998006.3320158895,479739.2350346632,
2021-09-09 00:00:00,2021-09-09 00:00:00,SELL,BALRAMCHIN,SellReason.RANK_EXIT,,,,,,299.02891459795046,334.01912833176095,345.1982802782698,103224.26707269011,106.96366937166538,998118.6148071826,582856.5384379816,
2021-09-15 00:00:00,2021-09-15 00:00:00,SELL,BSOFT,SellReason.RANK_EXIT,,,,,,263.80986072394154,378.6112358571723,384.33126453742824,101390.37736947527,105.06334518006189,998818.5667112477,684141.8524622768,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,ADANIENSOL,NEW_POSITION,,1,0.7837199817872963,,0.0975723215671402,62.54395952916709,1560.800048828125,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,ABREL,NEW_POSITION,,4,0.6171248410559923,,0.0975723215671402,117.35943272233501,831.7918110424727,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,WIPRO,NEW_POSITION,,6,0.5750884470979551,,0.0975723215671402,315.8725754249163,309.0442877344142,,97734.55035175383,115.93526472554368,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,DMART,NEW_POSITION,,7,0.5696194549860671,,0.0975723215671402,22.32303111983267,4373.0,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,BSOFT,NEW_POSITION,,8,0.560509308917851,,0.0975723215671402,250.18021126496836,390.19319151361424,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,TECHM,NEW_POSITION,,9,0.5580910359895724,,0.0975723215671402,79.467365002821,1228.4113747015888,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-22 00:00:00,2021-09-22 00:00:00,BUY,GODREJCP,NEW_POSITION,,10,0.5511470144192837,,0.0975723215671402,94.52124983404892,1032.7689832542144,,97734.55035175383,115.93526472555823,1014494.7490403105,0.0,
2021-09-23 00:00:00,2021-09-23 00:00:00,SELL,GODREJCP,SellReason.RANK_EXIT,,,,,,94.52124983404892,1032.7689832542144,1018.2028060768296,96241.80181491766,99.72825732746486,1033384.3604735155,96142.07355759019,
2021-09-28 00:00:00,2021-09-28 00:00:00,SELL,APOLLOHOSP,SellReason.RANK_EXIT,,,,,,20.08625796480888,4760.694274760496,4523.6472968829385,90863.14654700109,94.15475489381275,999635.2440013943,284455.1579418747,
2021-09-28 00:00:00,2021-09-28 00:00:00,SELL,TECHM,SellReason.RANK_EXIT,,,,,,79.467365002821,1228.4113747015888,1228.7468593128026,97645.27516508043,101.18257290321064,999635.2440013943,284455.1579418747,
2021-09-30 00:00:00,2021-09-30 00:00:00,SELL,BSOFT,SellReason.RANK_EXIT,,,,,,250.18021126496836,390.19319151361424,389.814953604282,97523.9874469631,101.0568914162168,998266.0984633996,381878.0884974216,
2021-10-01 00:00:00,2021-10-01 00:00:00,SELL,WIPRO,SellReason.RANK_EXIT,,,,,,315.8725754249163,309.0442877344142,293.2456032256217,92628.24392291027,95.98379468726164,991889.7169926637,474410.3486256446,
2021-10-08 00:00:00,2021-10-08 00:00:00,SELL,ADANIENT,SellReason.RANK_EXIT,,,,,,67.27442247962723,1484.685764939077,1518.6100551899126,102163.6144346562,105.86459353116607,1011145.3329825415,576468.0984667696,
2021-10-21 00:00:00,2021-10-21 00:00:00,SELL,DMART,SellReason.RANK_EXIT,,,,,,22.32303111983267,4373.0,4650.0,103802.09470722191,107.56242939008573,1021874.7798196272,680162.6307446014,
2021-10-22 00:00:00,2021-10-22 00:00:00,BUY,ARVIND,NEW_POSITION,,3,0.5722931499134889,,0.09511839488286872,724.2599191340979,134.0,,97166.09010637163,115.26094240251405,1011781.8089150293,0.0,
