rebalance_date,decision_date,action,symbol,reason,rank_before,rank_after,score,weight_before,weight_after,quantity,entry_price,exit_price,trade_value,transaction_cost,portfolio_value,cash_after,notes
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,ABREL,NEW_POSITION,,1,0.7530409881687232,,0.3333333333333333,433.20177064074386,768.5516247411038,,333333.3333333333,395.40866666665534,973203.6753883052,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,JSWSTEEL,NEW_POSITION,,2,0.7277410328729993,,0.3333333333333333,465.09091726907417,715.8555721139753,,333333.3333333333,395.40866666665534,973203.6753883052,0.0,
2021-08-10 00:00:00,2021-08-10 00:00:00,BUY,BAJAJFINSV,NEW_POSITION,,3,0.6898720364777223,,0.3333333333333333,233.9809062837035,1422.9277506215703,,333333.3333333333,395.40866666665534,973203.6753883052,0.0,
2021-08-23 00:00:00,2021-08-23 00:00:00,SELL,JSWSTEEL,SellReason.RANK_EXIT,,,,,,465.09091726907417,715.8555721139753,665.2897011962516,309420.1973790329,320.6292534492857,983221.4154718735,309099.56812558364,
2021-08-24 00:00:00,2021-08-24 00:00:00,BUY,BSOFT,NEW_POSITION,,1,0.8528232716547526,,0.31389720199555166,789.8912670008156,390.854943052517,,309099.56812558364,366.6619442993542,1019376.598447304,0.0,
2021-09-30 00:00:00,2021-09-30 00:00:00,SELL,BSOFT,SellReason.RANK_EXIT,,,,,,789.8912670008156,390.854943052517,389.814953604282,307911.42759835045,319.0658269745283,1122961.0050944882,307592.36177137593,
2021-10-22 00:00:00,2021-10-22 00:00:00,BUY,BAJFINANCE,NEW_POSITION,,3,0.6924992401087662,,0.27687027441405426,406.20950761063204,756.3276633321224,,307592.36177137593,364.8740569346119,1103117.748387113,0.0,
2021-10-26 00:00:00,2021-10-26 00:00:00,SELL,ABREL,SellReason.RANK_EXIT,,,,,,433.20177064074386,768.5516247411038,780.3906332190586,338066.6041019475,350.31340490214467,1077098.95044057,337716.2906970454,
2021-10-27 00:00:00,2021-10-27 00:00:00,SELL,BAJFINANCE,SellReason.RANK_EXIT,,,,,,406.20950761063204,756.3276633321224,767.4444663426261,311743.2387915424,323.0364493600049,1069380.253288955,649136.4930392278,
2021-11-23 00:00:00,2021-11-23 00:00:00,SELL,BAJAJFINSV,SellReason.RANK_EXIT,,,,,,233.9809062837035,1422.9277506215703,1683.1831080630884,393832.70906602225,408.09969278464797,1079475.1353177803,0.0,
2021-11-23 00:00:00,2021-11-23 00:00:00,BUY,ASAHIINDIA,NEW_POSITION,,1,0.7894801753937727,,0.33333333333333326,688.4725349248079,504.17135349242085,,347520.3674708218,412.2376954234205,1079475.1353177803,0.0,
2021-11-23 00:00:00,2021-11-23 00:00:00,BUY,BSOFT,NEW_POSITION,,2,0.7750788787251924,,0.3333333333333333,809.2814956249108,428.90901577746877,,347520.36747082183,412.2376954234205,1079475.1353177803,0.0,
2021-11-23 00:00:00,2021-11-23 00:00:00,BUY,TITAN,NEW_POSITION,,3,0.7251438979954297,,0.3333333333333333,147.75769388474242,2349.1712725711473,,347520.36747082183,412.2376954234787,1079475.1353177803,0.0,
